Schulnummer;Schultyp;Name;Strasse;PLZ;Ort;Homepage;Link
"8092";"Volksschule zur sonderp?dagog. F?rderung";"St. Gallus-Schule Scheidegg, Priv. Schule für Kranke a.d. Fach- klinik Prinzreg.Luitpold, der Kath. Jugendfürs. der Diöz. Augsburg e.V.";"Oberschwenden 1";"88175";"Scheidegg";"www.klinikprinzregentluitpold.de";"/schule/8092.html"
"8801";"Grund- u. Mittelschule";"Grundschule Scheidegg   ";"Blasenbergstraße 29";"88175";"Scheidegg";" ";"/schule/8801.html"
"8784";"Grund- u. Mittelschule";"Grundschule Heimenkirch   ";"Lindauer Str. 18";"88178";"Heimenkirch";"https://www.heimenkirch.de/de/leben-wohnen-und-freizeit/bild";"/schule/8784.html"
"8797";"Grund- u. Mittelschule";"Grundschule Oberreute   ";"Hauptstr. 26";"88179";"Oberreute";"www.gs.oberreute.de";"/schule/8797.html"
"0227";"Gymnasium";"Lessing-Gymnasium Neu-Ulm   ";"Augsburger Str. 75";"89231";"Neu-Ulm";"www.lessing.schule.neu-ulm.de";"/schule/0227.html"
"0584";"Realschule";"Christoph-Probst-Realschule Staatliche Realschule Neu-Ulm  ";"Albert-Schweitzer-Str. 12";"89231";"Neu-Ulm";"www.rsnu.de";"/schule/0584.html"
"0833";"Berufsoberschule";"Staatliche Berufsoberschule Neu-Ulm   ";"Memminger Str. 48";"89231";"Neu-Ulm";"www.fosbos.neu-ulm.de";"/schule/0833.html"
"0883";"Fachoberschule";"Staatliche Fachoberschule Neu-Ulm   ";"Memminger Str. 48";"89231";"Neu-Ulm";"www.fosbos.neu-ulm.de";"/schule/0883.html"
"1015";"Ausl?ndische Schule";"International School Neu-Ulm   ";"Schwabenstr. 25";"89231";"Neu-Ulm";"www.is-ulm.de";"/schule/1015.html"
"8083";"Berufsschule zur sonderp?dagog. F?rderung";"Adolph-Kolping-Berufsschule Neu-Ulm staatl. anerk. priv. Berufsschule z.sonderpäd.Förd., Förderschwerp.Le d.Kolping-Schulw.i.d.Diöz.Augsburg";"Reuttier Str. 41";"89231";"Neu-Ulm";"www.die-kolping-akademie.de";"/schule/8083.html"
"8299";"Berufsschule";"Staatl. Berufsschule Neu-Ulm   ";"Ringstr. 1";"89231";"Neu-Ulm";"www.bsnu.de";"/schule/8299.html"
"8301";"Berufsfachs. f. Hauswirtschaft u. Sozialberufe";"Staatl. Berufsfachschule für Kinderpflege Neu-Ulm  ";"Ringstr. 1";"89231";"Neu-Ulm";"www.bsnu.de";"/schule/8301.html"
"8336";"Berufsfachs. f. Hauswirtschaft u. Sozialberufe";"Staatl. Berufsfachschule für Sozialpflege Neu-Ulm  ";"Ringstr. 1";"89231";"Neu-Ulm";"www.bsnu.de";"/schule/8336.html"
"8423";"Grund- u. Mittelschule";"Mark-Twain-Grundschule Neu-Ulm  ";"Grethe-Weiser-Str. 3";"89231";"Neu-Ulm";" ";"/schule/8423.html"
"8546";"Grund- u. Mittelschule";"International School Neu-Ulm Volksschule (Grundschule und Haupt- schule) der Internationalen Schule Ulm/Neu-Ulm gGmbH";"Schwabenstr. 25";"89231";"Neu-Ulm";"www.is-ulm.de";"/schule/8546.html"
"8733";"Grund- u. Mittelschule";"Private Montessori-Volksschule Neu-Ulm (Grundschule und Hauptschule) ";"Baumgartenstr. 7";"89231";"Neu-Ulm";"www.montessori-ulm.de";"/schule/8733.html"
"8753";"Grund- u. Mittelschule";"Peter-Schöllhorn-Mittelschule Neu-Ulm-Mitte  ";"Gabelsberger Str. 2";"89231";"Neu-Ulm";"www.pss.schule.neu-ulm.de";"/schule/8753.html"
"8755";"Grund- u. Mittelschule";"Erich Kästner-Grundschule Neu-Ulm-Ludwigsfeld  ";"Hasenweg 19";"89231";"Neu-Ulm";"www.grundschule-ludwigsfeld.de";"/schule/8755.html"
"8756";"Grund- u. Mittelschule";"Grundschule Neu-Ulm-Offenhausen   ";"Martin-Luther-Str. 4";"89231";"Neu-Ulm";"www.gsoffenhausen.schule.neu-ulm.de";"/schule/8756.html"
"8757";"Grund- u. Mittelschule";"Grundschule Neu-Ulm-Stadtmitte   ";"Gabelsberger Str. 2";"89231";"Neu-Ulm";"www.gsmitte.schule.neu-ulm.de";"/schule/8757.html"
"8758";"Grund- u. Mittelschule";"Grundschule Neu-Ulm-Weststadt   ";"Schießhausallee 7";"89231";"Neu-Ulm";"www.gswest.schule.neu-ulm.de";"/schule/8758.html"
"8780";"Grund- u. Mittelschule";"Emil-Schmid-Mittelschule Neu-Ulm-Süd  ";"Humboldtstr. 1";"89231";"Neu-Ulm";"www.emil-schmid-schule.de";"/schule/8780.html"
